step,error
0,4.04313
1,4.03387
2,4.02627
3,4.01772
4,4.00987
5,4.00087
6,3.99352
7,3.98474
8,3.97796
9,3.96897
10,3.96196
11,3.95378
12,3.94508
13,3.93742
14,3.92888
15,3.92061
16,3.91218
17,3.9033
18,3.89567
19,3.88795
20,3.88066
21,3.8731
22,3.86482
23,3.85736
24,3.84914
25,3.84208
26,3.834
27,3.82602
28,3.81917
29,3.8109
30,3.80315
31,3.79524
32,3.78749
33,3.7794
34,3.7726
35,3.76658
36,3.75905
37,3.75184
38,3.74418
39,3.73663
40,3.72987
41,3.72436
42,3.71788
43,3.71173
44,3.70522
45,3.69942
46,3.69191
47,3.6861
48,3.68041
49,3.67407
50,3.66713
51,3.66061
52,3.65337
53,3.64692
54,3.64173
55,3.63491
56,3.62784
57,3.62094
58,3.61466
59,3.60907
60,3.60232
61,3.59672
62,3.59161
63,3.58537
64,3.5799
65,3.57392
66,3.56754
67,3.56274
68,3.55769
69,3.55165
70,3.54519
71,3.53918
72,3.53321
73,3.52803
74,3.52164
75,3.51699
76,3.51154
77,3.50534
78,3.50031
79,3.49465
80,3.48962
81,3.48335
82,3.47873
83,3.47394
84,3.46855
85,3.46392
86,3.45783
87,3.45269
88,3.44662
89,3.44139
90,3.43589
91,3.43018
92,3.42458
93,3.41902
94,3.41412
95,3.40823
96,3.40368
97,3.39941
98,3.3936
99,3.38889
100,3.38361
101,3.37812
102,3.37251
103,3.36802
104,3.36397
105,3.35863
106,3.35415
107,3.34942
108,3.34444
109,3.33964
110,3.33418
111,3.32892
112,3.32431
113,3.32044
114,3.31504
115,3.30981
116,3.30578
117,3.30058
118,3.29636
119,3.29249
120,3.28817
121,3.28308
122,3.27807
123,3.2743
124,3.26969
125,3.26573
126,3.26207
127,3.25726
128,3.25323
129,3.24966
130,3.24597
131,3.24107
132,3.23631
133,3.23284
134,3.22908
135,3.22435
136,3.21973
137,3.2156
138,3.21173
139,3.20773
140,3.20303
141,3.19928
142,3.19559
143,3.1917
144,3.18794
145,3.18431
146,3.18062
147,3.1767
148,3.17325
149,3.16923
150,3.16523
151,3.16129
152,3.15747
153,3.15373
154,3.14975
155,3.14659
156,3.14262
157,3.13863
158,3.13443
159,3.13021
160,3.12625
161,3.122
162,3.11792
163,3.11423
164,3.11004
165,3.10583
166,3.10237
167,3.09846
168,3.09494
169,3.09116
170,3.0881
171,3.0847
172,3.08071
173,3.07738
174,3.07359
175,3.0705
176,3.06694
177,3.06295
178,3.05935
179,3.0557
180,3.05225
181,3.04929
182,3.04631
183,3.04247
184,3.03906
185,3.03545
186,3.03164
187,3.02881
188,3.02567
189,3.02209
190,3.01834
191,3.01459
192,3.01114
193,3.00764
194,3.00446
195,3.00113
196,2.99771
197,2.99422
198,2.99125
199,2.98854
200,2.98546
201,2.9824
202,2.97931
203,2.97641
204,2.97306
205,2.97033
206,2.96727
207,2.96442
208,2.96175
209,2.95916
210,2.95675
211,2.95356
212,2.95084
213,2.94825
214,2.94516
215,2.94195
216,2.93866
217,2.93566
218,2.9324
219,2.92978
220,2.92704
221,2.92385
222,2.92127
223,2.91891
224,2.91596
225,2.91295
226,2.90998
227,2.90734
228,2.90454
229,2.90228
230,2.89954
231,2.8964
232,2.8937
233,2.89059
234,2.88807
235,2.88562
236,2.88324
237,2.8803
238,2.87757
239,2.87504
240,2.87204
241,2.86935
242,2.86715
243,2.86481
244,2.86202
245,2.85925
246,2.85716
247,2.85448
248,2.85209
249,2.84922
250,2.84639
251,2.84371
252,2.84097
253,2.8388
254,2.83611
255,2.83369
256,2.83095
257,2.82854
258,2.82587
259,2.82354
260,2.82113
261,2.8189
262,2.81661
263,2.81388
264,2.81169
265,2.80918
266,2.80705
267,2.80472
268,2.80237
269,2.79981
270,2.79723
271,2.79494
272,2.79273
273,2.79012
274,2.7877
275,2.78573
276,2.78333
277,2.78092
278,2.77846
279,2.77664
280,2.77432
281,2.77196
282,2.76959
283,2.76744
284,2.76501
285,2.76283
286,2.7604
287,2.75809
288,2.75564
289,2.75337
290,2.75154
291,2.74945
292,2.74702
293,2.74492
294,2.74287
295,2.74096
296,2.73911
297,2.73693
298,2.7347
299,2.7325
300,2.73046
301,2.72835
302,2.72655
303,2.72428
304,2.72222
305,2.71997
306,2.71833
307,2.71651
308,2.71445
309,2.71227
310,2.71046
311,2.70867
312,2.70669
313,2.70511
314,2.70305
315,2.70118
316,2.69925
317,2.69727
318,2.69564
319,2.69375
320,2.692
321,2.69029
322,2.68816
323,2.68644
324,2.68442
325,2.68265
326,2.68077
327,2.67867
328,2.67717
329,2.67548
330,2.67355
331,2.67173
332,2.66969
333,2.66768
334,2.66596
335,2.66418
336,2.66225
337,2.66053
338,2.65862
339,2.65694
340,2.65535
341,2.65393
342,2.65211
343,2.65021
344,2.64879
345,2.64718
346,2.64567
347,2.64393
348,2.642
349,2.64043
350,2.63905
351,2.63756
352,2.63586
353,2.63394
354,2.6323
355,2.63077
356,2.62923
357,2.62732
358,2.62585
359,2.62431
360,2.62281
361,2.62098
362,2.61919
363,2.61776
364,2.61602
365,2.6146
366,2.61292
367,2.61133
368,2.60969
369,2.60817
370,2.60641
371,2.60468
372,2.60317
373,2.60162
374,2.60002
375,2.59852
376,2.59682
377,2.59516
378,2.59341
379,2.59179
380,2.59002
381,2.58829
382,2.5866
383,2.58508
384,2.58339
385,2.582
386,2.58037
387,2.57906
388,2.5777
389,2.576
390,2.57453
391,2.57305
392,2.57141
393,2.57008
394,2.56852
395,2.56703
396,2.56562
397,2.56427
398,2.56308
399,2.56142
400,2.55991
401,2.5583
402,2.55675
403,2.55558
404,2.55424
405,2.55291
406,2.55154
407,2.55034
408,2.54918
409,2.54786
410,2.54634
411,2.54519
412,2.54392
413,2.54248
414,2.54108
415,2.53989
416,2.53835
417,2.53707
418,2.53582
419,2.53463
420,2.53337
421,2.53192
422,2.53049
423,2.52933
424,2.52779
425,2.52653
426,2.52511
427,2.52382
428,2.52243
429,2.521
430,2.51973
431,2.51851
432,2.51714
433,2.51599
434,2.51476
435,2.51328
436,2.51198
437,2.51058
438,2.5095
439,2.50818
440,2.50709
441,2.50567
442,2.50435
443,2.50314
444,2.50188
445,2.50077
446,2.49951
447,2.49831
448,2.49706
449,2.49569
450,2.49443
451,2.49307
452,2.49182
453,2.49071
454,2.48931
455,2.48807
456,2.48681
457,2.48553
458,2.48415
459,2.48305
460,2.48188
461,2.48074
462,2.4795
463,2.47851
464,2.47731
465,2.47596
466,2.47498
467,2.474
468,2.47274
469,2.47173
470,2.4705
471,2.46921
472,2.46787
473,2.46681
474,2.46577
475,2.46461
476,2.46348
477,2.46224
478,2.46096
479,2.45966
480,2.4585
481,2.45739
482,2.45615
483,2.45521
484,2.45401
485,2.4528
486,2.45163
487,2.4506
488,2.44954
489,2.44839
490,2.44727
491,2.44605
492,2.4448
493,2.44385
494,2.44263
495,2.44155
496,2.44063
497,2.43941
498,2.43832
499,2.43712
500,2.43587
501,2.43494
502,2.43381
503,2.43258
504,2.43155
505,2.43035
506,2.4293
507,2.42813
508,2.42703
509,2.42603
510,2.42488
511,2.42397
512,2.42283
513,2.42177
514,2.42084
515,2.41981
516,2.41887
517,2.41773
518,2.41661
519,2.41554
520,2.41456
521,2.41362
522,2.41263
523,2.41168
524,2.4107
525,2.40978
526,2.40869
527,2.40768
528,2.40683
529,2.40592
530,2.40498
531,2.40414
532,2.40319
533,2.40205
534,2.40123
535,2.40016
536,2.39906
537,2.39807
538,2.39707
539,2.39612
540,2.39502
541,2.39411
542,2.39313
543,2.39211
544,2.39104
545,2.38999
546,2.38919
547,2.3884
548,2.38743
549,2.38637
550,2.38537
551,2.38429
552,2.38318
553,2.38207
554,2.38124
555,2.38032
556,2.37947
557,2.37841
558,2.37734
559,2.37648
560,2.37568
561,2.37486
562,2.37398
563,2.37307
564,2.37228
565,2.3714
566,2.37059
567,2.36955
568,2.36852
569,2.36754
570,2.3667
571,2.36574
572,2.36468
573,2.36369
574,2.36287
575,2.36188
576,2.36099
577,2.36016
578,2.35917
579,2.35815
580,2.3571
581,2.35624
582,2.35526
583,2.35422
584,2.35338
585,2.35237
586,2.35151
587,2.35061
588,2.34965
589,2.34885
590,2.34788
591,2.3469
592,2.34606
593,2.34532
594,2.34454
595,2.34368
596,2.34283
597,2.34201
598,2.34121
599,2.34044
600,2.33943
601,2.33857
602,2.33761
603,2.33663
604,2.33587
605,2.33487
606,2.33397
607,2.33309
608,2.33232
609,2.33151
610,2.33067
611,2.32992
612,2.32901
613,2.32827
614,2.32753
615,2.32655
616,2.32556
617,2.32472
618,2.32388
619,2.32297
620,2.32207
621,2.32132
622,2.32048
623,2.31951
624,2.31874
625,2.31786
626,2.31705
627,2.31618
628,2.31523
629,2.31436
630,2.31345
631,2.31251
632,2.31183
633,2.31099
634,2.31008
635,2.30936
636,2.30853
637,2.30774
638,2.30687
639,2.30599
640,2.30512
641,2.30443
642,2.30352
643,2.30275
644,2.30203
645,2.30109
646,2.30035
647,2.29964
648,2.29884
649,2.29797
650,2.29707
651,2.2964
652,2.29549
653,2.29474
654,2.29407
655,2.29338
656,2.29247
657,2.2917
658,2.29084
659,2.28994
660,2.28903
661,2.28823
662,2.28737
663,2.28646
664,2.28581
665,2.28502
666,2.28435
667,2.28354
668,2.28267
669,2.28182
670,2.2811
671,2.28032
672,2.27946
673,2.27879
674,2.27794
675,2.27704
676,2.27639
677,2.27549
678,2.27482
679,2.27404
680,2.27321
681,2.27233
682,2.27154
683,2.27074
684,2.27004
685,2.26925
686,2.26843
687,2.26776
688,2.26688
689,2.26615
690,2.26552
691,2.26466
692,2.26381
693,2.26298
694,2.26213
695,2.26128
696,2.2606
697,2.25973
698,2.259
699,2.25839
700,2.25758
701,2.25679
702,2.25605
703,2.25529
704,2.25449
705,2.25382
706,2.25308
707,2.25226
708,2.2516
709,2.25083
710,2.25016
711,2.24932
712,2.24857
713,2.24776
714,2.24703
715,2.24623
716,2.24554
717,2.24491
718,2.24408
719,2.2434
720,2.24267
721,2.24184
722,2.24121
723,2.24052
724,2.23976
725,2.23891
726,2.23828
727,2.23747
728,2.23664
729,2.2359
730,2.23509
731,2.23434
732,2.23372
733,2.23305
734,2.23244
735,2.23164
736,2.23092
737,2.2302
738,2.22946
739,2.2287
740,2.2281
741,2.22732
742,2.22659
743,2.22586
744,2.22514
745,2.22432
746,2.22367
747,2.22288
748,2.22229
749,2.22168
750,2.22109
751,2.22037
752,2.21956
753,2.21893
754,2.21815
755,2.21742
756,2.21681
757,2.21601
758,2.21533
759,2.21475
760,2.21406
761,2.21344
762,2.2127
763,2.21199
764,2.2113
765,2.21056
766,2.20991
767,2.20912
768,2.20851
769,2.20773
770,2.20702
771,2.2064
772,2.20568
773,2.2051
774,2.20436
775,2.20377
776,2.20297
777,2.20219
778,2.2014
779,2.2006
780,2.1998
781,2.19901
782,2.19832
783,2.19754
784,2.19695
785,2.19632
786,2.19564
787,2.19502
788,2.19442
789,2.19366
790,2.19304
791,2.19234
792,2.19154
793,2.19078
794,2.19022
795,2.18955
796,2.18887
797,2.18823
798,2.1876
799,2.18689
800,2.18629
801,2.18554
802,2.1848
803,2.18407
804,2.18331
805,2.18265
806,2.1819
807,2.18116
808,2.18053
809,2.17981
810,2.17906
811,2.17845
812,2.17774
813,2.17713
814,2.17653
815,2.17581
816,2.17514
817,2.17443
818,2.17367
819,2.17297
820,2.1723
821,2.17173
822,2.17114
823,2.17047
824,2.16972
825,2.16911
826,2.16837
827,2.16773
828,2.16705
829,2.16647
830,2.16571
831,2.165
832,2.16424
833,2.16353
834,2.16288
835,2.16216
836,2.1616
837,2.161
838,2.16032
839,2.15968
840,2.15893
841,2.1583
842,2.15761
843,2.15694
844,2.15625
845,2.15552
846,2.15494
847,2.15437
848,2.15372
849,2.15318
850,2.15246
851,2.15171
852,2.15115
853,2.15039
854,2.14976
855,2.14923
856,2.14864
857,2.14804
858,2.14742
859,2.1467
860,2.14607
861,2.14546
862,2.14481
863,2.14419
864,2.14344
865,2.14271
866,2.14215
867,2.1416
868,2.14103
869,2.14034
870,2.13969
871,2.13915
872,2.13861
873,2.13805
874,2.13738
875,2.13669
876,2.13596
877,2.13525
878,2.13454
879,2.13391
880,2.1332
881,2.13253
882,2.13192
883,2.13118
884,2.13051
885,2.12981
886,2.12908
887,2.12837
888,2.12784
889,2.12724
890,2.12656
891,2.12593
892,2.12527
893,2.1247
894,2.124
895,2.12334
896,2.12279
897,2.12207
898,2.12139
899,2.1208
900,2.12013
901,2.11957
902,2.11896
903,2.11828
904,2.11769
905,2.11718
906,2.11656
907,2.11599
908,2.11529
909,2.11472
910,2.11405
911,2.11339
912,2.11268
913,2.11216
914,2.1115
915,2.11086
916,2.11017
917,2.10952
918,2.10891
919,2.10821
920,2.1075
