step,error
458,2.56512
459,2.56401
460,2.56294
461,2.56197
462,2.56112
463,2.55997
464,2.55889
465,2.55773
466,2.55681
467,2.55579
468,2.55493
469,2.55409
470,2.55297
471,2.55196
472,2.55104
473,2.55002
474,2.54909
475,2.54814
476,2.54706
477,2.54605
478,2.54503
479,2.54397
480,2.54295
481,2.54213
482,2.54113
483,2.54005
484,2.53912
485,2.53808
486,2.53706
487,2.53605
488,2.535
489,2.5341
490,2.53315
491,2.53223
492,2.53123
493,2.53028
494,2.52938
495,2.52849
496,2.52758
497,2.52661
498,2.52556
499,2.52461
500,2.52365
501,2.52262
502,2.52154
503,2.52052
504,2.51963
505,2.51877
506,2.51794
507,2.51712
508,2.5161
509,2.51511
510,2.51409
511,2.51319
512,2.5122
513,2.51131
514,2.51047
515,2.50969
516,2.50862
517,2.5076
518,2.50663
519,2.50564
520,2.50484
521,2.50379
522,2.503
523,2.50203
524,2.50114
525,2.50027
526,2.49923
527,2.49822
528,2.49722
529,2.49623
530,2.49542
531,2.49457
532,2.49365
533,2.49283
534,2.49178
535,2.4908
536,2.48993
537,2.48918
538,2.48819
539,2.4874
540,2.48641
541,2.48548
542,2.48459
543,2.48369
544,2.48269
545,2.48176
546,2.48088
547,2.47989
548,2.47902
549,2.47825
550,2.47734
551,2.47646
552,2.47569
553,2.4748
554,2.47403
555,2.47315
556,2.47218
557,2.47116
558,2.47035
559,2.46944
560,2.46848
561,2.46763
562,2.46666
563,2.46586
564,2.46496
565,2.46399
566,2.463
567,2.462
568,2.46101
569,2.46008
570,2.45932
571,2.45842
572,2.45761
573,2.45674
574,2.45597
575,2.45521
576,2.45446
577,2.45356
578,2.45259
579,2.45172
580,2.45082
581,2.44997
582,2.44901
583,2.44809
584,2.44712
585,2.44616
586,2.44539
587,2.44447
588,2.44351
589,2.44268
590,2.44188
591,2.44098
592,2.44005
593,2.43931
594,2.43837
595,2.43754
596,2.43659
597,2.43569
598,2.43487
599,2.43395
600,2.43311
601,2.43228
602,2.43144
603,2.43054
604,2.42959
605,2.42872
606,2.42781
607,2.42709
608,2.42635
609,2.42547
610,2.42466
611,2.42374
612,2.42303
613,2.42223
614,2.42141
615,2.42047
616,2.41969
617,2.41883
618,2.41796
619,2.41721
620,2.41626
621,2.41533
622,2.41443
623,2.41353
624,2.41258
625,2.41172
626,2.41099
627,2.41007
628,2.40929
629,2.40848
630,2.40762
631,2.40673
632,2.4058
633,2.4051
634,2.40429
635,2.40338
636,2.40253
637,2.4018
638,2.40089
639,2.40001
640,2.39912
641,2.39836
642,2.39754
643,2.39665
644,2.39579
645,2.39486
646,2.39399
647,2.39307
648,2.39224
649,2.39146
650,2.39076
651,2.38994
652,2.3892
653,2.38831
654,2.38755
655,2.38681
656,2.38601
657,2.38522
658,2.38452
659,2.38365
