step,error
0,4.2523
1,4.72433
2,4.71524
3,4.63018
4,4.54466
5,4.45494
6,4.38046
7,4.31842
8,4.25045
9,4.18336
10,4.12855
11,4.08003
12,4.02774
13,3.98212
14,3.94049
15,3.9003
16,3.8612
17,3.8232
18,3.78833
19,3.75643
20,3.72652
21,3.69487
22,3.66716
23,3.64315
24,3.61596
25,3.58847
26,3.56464
27,3.54004
28,3.52073
29,3.50221
30,3.48327
31,3.46572
32,3.44682
33,3.42647
34,3.40681
35,3.38737
36,3.3687
37,3.35328
38,3.33946
39,3.32378
40,3.3098
41,3.29567
42,3.28013
43,3.26756
44,3.25304
45,3.24031
46,3.22709
47,3.21435
48,3.20327
49,3.192
50,3.17889
51,3.16712
52,3.15672
53,3.14567
54,3.13435
55,3.12213
56,3.11145
57,3.10182
58,3.09066
59,3.0803
60,3.07095
61,3.06179
62,3.05184
63,3.04155
64,3.03277
65,3.02346
66,3.01369
67,3.00543
68,2.9959
69,2.98634
70,2.97679
71,2.96901
72,2.96111
73,2.95224
74,2.94447
75,2.937
76,2.92962
77,2.92104
78,2.91271
79,2.90543
80,2.89671
81,2.88861
82,2.88061
83,2.87362
84,2.86683
85,2.85983
86,2.85305
87,2.8457
88,2.83859
89,2.83044
90,2.82211
91,2.81468
92,2.80804
93,2.80077
94,2.794
95,2.78722
96,2.78086
97,2.77314
98,2.76624
99,2.75866
100,2.7512
101,2.74479
102,2.73734
103,2.72969
104,2.72206
105,2.71594
106,2.70858
107,2.70101
108,2.69358
109,2.68673
110,2.6808
111,2.6738
112,2.66781
113,2.66114
114,2.65392
115,2.64798
116,2.64114
117,2.63546
118,2.62902
119,2.62321
120,2.61626
121,2.60977
122,2.60323
123,2.5975
124,2.59178
125,2.58505
126,2.57886
127,2.57306
128,2.56635
129,2.55957
130,2.55398
131,2.54768
132,2.54223
133,2.53678
134,2.53063
135,2.52387
136,2.51831
137,2.51219
138,2.50552
139,2.49861
140,2.49306
141,2.48645
142,2.47981
143,2.47408
144,2.46794
145,2.46152
146,2.45562
147,2.44975
148,2.44339
149,2.43665
150,2.43054
151,2.42424
152,2.41822
153,2.41279
154,2.40649
155,2.40032
156,2.39509
157,2.3896
158,2.38332
159,2.3768
160,2.37155
161,2.36525
162,2.35932
163,2.3541
164,2.34783
165,2.34259
166,2.33625
167,2.33112
168,2.32525
169,2.31896
170,2.3124
171,2.30616
172,2.29988
173,2.29362
174,2.28708
175,2.2814
176,2.27559
177,2.27002
178,2.26392
179,2.25841
180,2.25293
181,2.24748
182,2.24241
183,2.23637
184,2.2307
185,2.22453
186,2.21882
187,2.21319
188,2.20808
189,2.20273
190,2.19731
191,2.19217
192,2.18695
193,2.18093
194,2.17571
195,2.17063
196,2.16457
197,2.15942
198,2.15436
199,2.14879
200,2.14388
201,2.13888
202,2.13366
